char,tex,pos,size,pos_off,pos_add,offset
光,0,"(492, 45)","(15, 15)","(14, 14)","(0, 0)",20
克,0,"(0, 60)","(15, 15)","(14, 14)","(0, 0)",20
免,0,"(15, 60)","(15, 15)","(14, 14)","(0, 0)",20
入,0,"(30, 60)","(15, 15)","(14, 14)","(0, 0)",20
关,0,"(45, 60)","(15, 15)","(14, 14)","(0, 0)",20
其,0,"(60, 60)","(15, 15)","(14, 14)","(0, 0)",20
具,0,"(75, 60)","(15, 15)","(14, 14)","(0, 0)",20
内,0,"(90, 60)","(15, 15)","(14, 14)","(0, 0)",20
再,0,"(105, 60)","(15, 15)","(14, 14)","(0, 0)",20
写,0,"(120, 60)","(15, 15)","(14, 14)","(0, 0)",20
况,0,"(135, 60)","(15, 15)","(14, 14)","(0, 0)",20
出,0,"(150, 60)","(15, 15)","(14, 14)","(0, 0)",20
击,0,"(165, 60)","(15, 15)","(14, 14)","(0, 0)",20
切,0,"(180, 60)","(15, 15)","(14, 14)","(0, 0)",20
划,0,"(195, 60)","(15, 15)","(14, 14)","(0, 0)",20
初,0,"(210, 60)","(15, 15)","(14, 14)","(0, 0)",20
删,0,"(225, 60)","(15, 15)","(14, 14)","(0, 0)",20
判,0,"(240, 60)","(15, 15)","(14, 14)","(0, 0)",20
别,0,"(255, 60)","(15, 15)","(14, 14)","(0, 0)",20
到,0,"(270, 60)","(15, 15)","(14, 14)","(0, 0)",20
制,0,"(285, 60)","(15, 15)","(14, 14)","(0, 0)",20
剧,0,"(300, 60)","(15, 15)","(14, 14)","(0, 0)",20
功,0,"(315, 60)","(15, 15)","(14, 14)","(0, 0)",20
加,0,"(330, 60)","(15, 15)","(14, 14)","(0, 0)",20
动,0,"(345, 60)","(15, 15)","(14, 14)","(0, 0)",20
包,0,"(360, 60)","(15, 15)","(14, 14)","(0, 0)",20
化,0,"(375, 60)","(15, 15)","(14, 14)","(0, 0)",20
单,0,"(390, 60)","(15, 15)","(14, 14)","(0, 0)",20
卡,0,"(405, 60)","(15, 15)","(14, 14)","(0, 0)",20
即,0,"(420, 60)","(15, 15)","(14, 14)","(0, 0)",20
发,0,"(435, 60)","(15, 15)","(14, 14)","(0, 0)",20
取,0,"(450, 60)","(15, 15)","(14, 14)","(0, 0)",20
受,0,"(465, 60)","(15, 15)","(14, 14)","(0, 0)",20
可,0,"(480, 60)","(15, 15)","(14, 14)","(0, 0)",20
合,0,"(495, 60)","(15, 15)","(14, 14)","(0, 0)",20
同,0,"(0, 75)","(15, 15)","(14, 14)","(0, 0)",20
后,0,"(15, 75)","(15, 15)","(14, 14)","(0, 0)",20
吗,0,"(30, 75)","(15, 15)","(14, 14)","(0, 0)",20
否,0,"(45, 75)","(15, 15)","(14, 14)","(0, 0)",20
含,0,"(60, 75)","(15, 15)","(14, 14)","(0, 0)",20
启,0,"(75, 75)","(15, 15)","(14, 14)","(0, 0)",20
告,0,"(90, 75)","(15, 15)","(14, 14)","(0, 0)",20
呵,0,"(105, 75)","(15, 15)","(14, 14)","(0, 0)",20
售,0,"(120, 75)","(15, 15)","(14, 14)","(0, 0)",20
商,0,"(135, 75)","(15, 15)","(14, 14)","(0, 0)",20
回,0,"(150, 75)","(15, 15)","(14, 14)","(0, 0)",20
因,0,"(165, 75)","(15, 15)","(14, 14)","(0, 0)",20
国,0,"(180, 75)","(15, 15)","(14, 14)","(0, 0)",20
在,0,"(195, 75)","(15, 15)","(14, 14)","(0, 0)",20
地,0,"(210, 75)","(15, 15)","(14, 14)","(0, 0)",20
堂,0,"(225, 75)","(15, 15)","(14, 14)","(0, 0)",20
增,0,"(240, 75)","(15, 15)","(14, 14)","(0, 0)",20
处,0,"(255, 75)","(15, 15)","(14, 14)","(0, 0)",20
复,0,"(270, 75)","(15, 15)","(14, 14)","(0, 0)",20
夏,0,"(285, 75)","(15, 15)","(14, 14)","(0, 0)",20
够,0,"(300, 75)","(15, 15)","(14, 14)","(0, 0)",20
大,0,"(315, 75)","(15, 15)","(14, 14)","(0, 0)",20
失,0,"(330, 75)","(15, 15)","(14, 14)","(0, 0)",20
始,0,"(345, 75)","(15, 15)","(14, 14)","(0, 0)",20
字,0,"(360, 75)","(15, 15)","(14, 14)","(0, 0)",20
存,0,"(375, 75)","(15, 15)","(14, 14)","(0, 0)",20
季,0,"(390, 75)","(15, 15)","(14, 14)","(0, 0)",20
完,0,"(405, 75)","(15, 15)","(14, 14)","(0, 0)",20
官,0,"(420, 75)","(15, 15)","(14, 14)","(0, 0)",20
定,0,"(435, 75)","(15, 15)","(14, 14)","(0, 0)",20
宣,0,"(450, 75)","(15, 15)","(14, 14)","(0, 0)",20
容,0,"(465, 75)","(15, 15)","(14, 14)","(0, 0)",20
对,0,"(480, 75)","(15, 15)","(14, 14)","(0, 0)",20
寿,0,"(495, 75)","(15, 15)","(14, 14)","(0, 0)",20
将,0,"(0, 90)","(15, 15)","(14, 14)","(0, 0)",20
尔,0,"(15, 90)","(15, 15)","(14, 14)","(0, 0)",20
就,0,"(30, 90)","(15, 15)","(14, 14)","(0, 0)",20
帝,0,"(45, 90)","(15, 15)","(14, 14)","(0, 0)",20
并,0,"(60, 90)","(15, 15)","(14, 14)","(0, 0)",20
广,0,"(75, 90)","(15, 15)","(14, 14)","(0, 0)",20
应,0,"(90, 90)","(15, 15)","(14, 14)","(0, 0)",20
店,0,"(105, 90)","(15, 15)","(14, 14)","(0, 0)",20
庭,0,"(120, 90)","(15, 15)","(14, 14)","(0, 0)",20
开,0,"(135, 90)","(15, 15)","(14, 14)","(0, 0)",20
式,0,"(150, 90)","(15, 15)","(14, 14)","(0, 0)",20
录,0,"(165, 90)","(15, 15)","(14, 14)","(0, 0)",20
待,0,"(180, 90)","(15, 15)","(14, 14)","(0, 0)",20
得,0,"(195, 90)","(15, 15)","(14, 14)","(0, 0)",20
御,0,"(210, 90)","(15, 15)","(14, 14)","(0, 0)",20
必,0,"(225, 90)","(15, 15)","(14, 14)","(0, 0)",20
快,0,"(240, 90)","(15, 15)","(14, 14)","(0, 0)",20
态,0,"(255, 90)","(15, 15)","(14, 14)","(0, 0)",20
情,0,"(270, 90)","(15, 15)","(14, 14)","(0, 0)",20
意,0,"(285, 90)","(15, 15)","(14, 14)","(0, 0)",20
戏,0,"(300, 90)","(15, 15)","(14, 14)","(0, 0)",20
成,0,"(315, 90)","(15, 15)","(14, 14)","(0, 0)",20
或,0,"(330, 90)","(15, 15)","(14, 14)","(0, 0)",20
所,0,"(345, 90)","(15, 15)","(14, 14)","(0, 0)",20
找,0,"(360, 90)","(15, 15)","(14, 14)","(0, 0)",20
护,0,"(375, 90)","(15, 15)","(14, 14)","(0, 0)",20
报,0,"(390, 90)","(15, 15)","(14, 14)","(0, 0)",20
择,0,"(405, 90)","(15, 15)","(14, 14)","(0, 0)",20
损,0,"(420, 90)","(15, 15)","(14, 14)","(0, 0)",20
换,0,"(435, 90)","(15, 15)","(14, 14)","(0, 0)",20
据,0,"(450, 90)","(15, 15)","(14, 14)","(0, 0)",20
探,0,"(465, 90)","(15, 15)","(14, 14)","(0, 0)",20
接,0,"(480, 90)","(15, 15)","(14, 14)","(0, 0)",20
推,0,"(495, 90)","(15, 15)","(14, 14)","(0, 0)",20
插,0,"(0, 105)","(15, 15)","(14, 14)","(0, 0)",20
摩,0,"(15, 105)","(15, 15)","(14, 14)","(0, 0)",20
